day, percent, ok, all
2019-06-28, 0.256555, 3503, 13654
2019-06-29, 0.196698, 10735, 54576
2019-06-30, 0.227020, 9306, 40992
2019-07-01, 0.236023, 6303, 26705
2019-07-02, 0.123800, 1792, 14475
